epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,93.1305,1.30993,2.76949,1.73407,0.00397,1,0.30239,0.12867,1.44429,3.64783,2.09543,0.00046676,0.00046676,0.00046676
2,190.89,1.28304,2.12778,1.66538,0.62956,0.35432,0.65375,0.30427,1.40444,2.92769,2.15286,0.000931376,0.000931376,0.000931376
3,289.547,1.34343,2.10126,1.69327,0.72557,0.31649,0.32886,0.17875,1.70458,3.42961,2.2734,0.00137685,0.00137685,0.00137685
4,389.24,1.41421,2.03871,1.72514,0.32208,0.52769,0.40227,0.19353,1.64267,4.12543,2.22498,0.00156798,0.00156798,0.00156798
5,491.087,1.33026,1.97294,1.69504,0.41282,0.64154,0.39496,0.16235,1.83129,3.71337,2.62625,0.00153497,0.00153497,0.00153497
6,593.773,1.36836,1.80416,1.70747,0.62084,0.5791,0.64111,0.28698,1.74969,5.0161,2.54118,0.00150197,0.00150197,0.00150197
7,704.875,1.3011,1.70781,1.62651,0.38217,0.3924,0.48262,0.29055,1.5609,3.99102,2.20238,0.00146896,0.00146896,0.00146896
8,819.202,1.34363,1.82248,1.68739,0.90836,0.54308,0.66502,0.25035,1.92761,2.82591,2.75023,0.00143595,0.00143595,0.00143595
9,918.024,1.33529,1.72137,1.67786,0.61429,0.53343,0.4792,0.22429,1.66778,2.72999,2.25218,0.00140295,0.00140295,0.00140295
10,1146.96,1.36165,1.64762,1.70024,0.69872,0.52308,0.57127,0.26638,1.7526,2.70065,2.32127,0.00136994,0.00136994,0.00136994
11,1245.45,1.27954,1.54068,1.63643,0.71984,0.73611,0.74472,0.3654,1.65705,2.16429,2.1742,0.00133693,0.00133693,0.00133693
12,1346.17,1.2226,1.48741,1.57359,0.65509,0.80154,0.84575,0.49421,1.51135,2.06566,1.97699,0.00130393,0.00130393,0.00130393
13,1447.41,1.29598,1.49108,1.6211,0.7656,0.74154,0.76139,0.41015,1.81403,2.17895,2.52767,0.00127092,0.00127092,0.00127092
